,start_time,finish_time,s,emotion_level,subject
206,00:06:23.740,00:06:24.840,s,,
207,00:06:24.840,00:06:25.160,x,2.0,B
208,00:06:25.160,00:06:25.760,s,2.0,B
209,00:06:25.760,00:06:27.820,x,2.0,B
210,00:06:27.820,00:06:28.200,s,,
211,00:06:28.200,00:06:29.060,x,,
212,00:06:29.060,00:06:29.440,s,,
213,00:06:29.440,00:06:30.640,x,,
214,00:06:30.640,00:06:31.160,s,,
215,00:06:31.160,00:06:32.020,x,,
216,00:06:32.020,00:06:33.680,s,,
217,00:06:33.680,00:06:39.460,x,,
218,00:06:39.460,00:06:39.920,s,,
219,00:06:39.920,00:06:40.500,x,,
220,00:06:40.500,00:06:40.860,s,,
221,00:06:40.860,00:06:41.220,x,,
222,00:06:41.220,00:06:42.160,s,,
223,00:06:42.160,00:06:42.300,x,,
224,00:06:42.300,00:06:43.000,s,,
225,00:06:43.000,00:06:43.180,x,,
226,00:06:43.180,00:06:44.360,s,,
227,00:06:44.360,00:06:45.840,x,3.0,A
228,00:06:45.840,00:06:46.460,s,3.0,A
229,00:06:46.460,00:06:49.760,x,3.0,A
230,00:06:49.760,00:06:50.180,s,,
231,00:06:50.180,00:06:50.680,x,,
232,00:06:50.680,00:06:51.500,s,,
233,00:06:51.500,00:06:53.220,x,,
234,00:06:53.220,00:06:54.320,s,,
235,00:06:54.320,00:06:55.800,x,,
236,00:06:55.800,00:06:57.080,s,,
237,00:06:57.080,00:06:57.260,x,4.0,B
238,00:06:57.260,00:06:57.680,s,4.0,B
239,00:06:57.680,00:06:57.960,x,4.0,B
240,00:06:57.960,00:06:58.680,s,4.0,B
241,00:06:58.680,00:07:02.880,x,4.0,B
242,00:07:02.880,00:07:03.720,s,,
243,00:07:03.720,00:07:04.000,x,,
244,00:07:04.000,00:07:05.180,s,,
245,00:07:05.180,00:07:05.780,x,,
246,00:07:05.780,00:07:06.820,s,,
247,00:07:06.820,00:07:12.140,x,,
248,00:07:12.140,00:07:12.500,s,,
249,00:07:12.500,00:07:19.040,x,,
250,00:07:19.040,00:07:19.960,s,,
251,00:07:19.960,00:07:21.940,x,,
252,00:07:21.940,00:07:22.820,s,,
253,00:07:22.820,00:07:27.400,x,,
254,00:07:27.400,00:07:27.960,s,,
255,00:07:27.960,00:07:28.520,x,,
256,00:07:28.520,00:07:29.180,s,,
257,00:07:29.180,00:07:30.640,x,,
258,00:07:30.640,00:07:31.340,s,,
259,00:07:31.340,00:07:31.880,x,,
260,00:07:31.880,00:07:32.640,s,,
261,00:07:32.640,00:07:40.840,x,,
262,00:07:40.840,00:07:42.160,s,,
263,00:07:42.160,00:07:44.080,x,,
264,00:07:44.080,00:07:44.780,s,,
265,00:07:44.780,00:07:44.880,x,,
266,00:07:44.880,00:07:45.440,s,,
267,00:07:45.440,00:07:47.620,x,,
268,00:07:47.620,00:07:48.140,s,,
269,00:07:48.140,00:07:48.560,x,,
270,00:07:48.560,00:07:49.280,s,,
271,00:07:49.280,00:07:55.820,x,,
272,00:07:55.820,00:07:56.280,s,,
273,00:07:56.280,00:07:58.860,x,,
274,00:07:58.860,00:07:59.960,s,,
275,00:07:59.960,00:08:04.500,x,,
276,00:08:04.500,00:08:05.060,s,,
277,00:08:05.060,00:08:05.460,x,,
278,00:08:05.460,00:08:05.860,s,,
279,00:08:05.860,00:08:07.900,x,,
280,00:08:07.900,00:08:08.580,s,,
281,00:08:08.580,00:08:12.660,x,,
282,00:08:12.660,00:08:13.180,s,,
